                ,pos_z
         0.70614,     -6.07823e-5
         0.70714,     -6.09229e-5
         0.70814,     -6.10652e-5
         0.70914,     -6.12091e-5
         0.71014,     -6.13545e-5
         0.71114,     -6.15015e-5
         0.71214,     -6.16502e-5
         0.71314,     -6.18004e-5
         0.71414,     -6.19522e-5
         0.71514,     -6.21056e-5
         0.71614,     -6.22606e-5
         0.71714,     -6.24074e-5
         0.71814,     -6.25557e-5
         0.71914,     -6.27155e-5
         0.72014,     -6.28768e-5
         0.72114,     -6.30398e-5
         0.72214,     -6.32043e-5
         0.72314,     -6.33705e-5
         0.72414,      -6.3548e-5
         0.72514,     -6.37173e-5
         0.72614,     -6.38883e-5
         0.72714,     -6.40608e-5
         0.72814,     -6.42349e-5
         0.72914,     -6.44105e-5
         0.73014,      -6.4578e-5
         0.73114,      -6.4747e-5
         0.73214,     -6.49275e-5
         0.73314,     -6.51095e-5
         0.73414,     -6.52833e-5
         0.73514,     -6.54686e-5
         0.73614,     -6.56652e-5
         0.73714,     -6.58733e-5
         0.73814,     -6.60731e-5
         0.73914,     -6.62647e-5
         0.74014,     -6.64678e-5
         0.74114,     -6.66822e-5
         0.74214,     -6.68884e-5
         0.74314,     -6.70864e-5
         0.74414,     -6.72958e-5
         0.74514,     -6.75166e-5
         0.74614,      -6.7739e-5
         0.74714,     -6.79531e-5
         0.74814,     -6.81689e-5
         0.74914,     -6.83862e-5
         0.75014,     -6.86052e-5
         0.75114,     -6.88159e-5
         0.75214,     -6.90282e-5
         0.75314,      -6.9242e-5
         0.75414,     -6.94575e-5
         0.75514,     -6.96746e-5
         0.75614,     -6.98834e-5
         0.75714,     -7.00938e-5
         0.75814,     -7.03157e-5
         0.75914,     -7.05489e-5
         0.76014,     -7.07838e-5
         0.76114,     -7.10104e-5
         0.76214,     -7.12386e-5
         0.76314,     -7.14684e-5
         0.76414,     -7.16899e-5
         0.76514,     -7.19033e-5
         0.76614,     -7.21083e-5
         0.76714,      -7.2315e-5
         0.76814,     -7.25233e-5
         0.76914,     -7.27331e-5
         0.77014,     -7.29446e-5
         0.77114,     -7.31576e-5
         0.77214,     -7.33723e-5
         0.77314,     -7.35885e-5
         0.77414,     -7.37965e-5
         0.77514,     -7.39962e-5
         0.77614,     -7.41976e-5
         0.77714,     -7.44005e-5
         0.77814,     -7.45952e-5
         0.77914,     -7.47915e-5
         0.78014,     -7.49893e-5
         0.78114,     -7.51888e-5
         0.78214,       -7.538e-5
         0.78314,      -7.5563e-5
         0.78414,     -7.57476e-5
         0.78514,     -7.59338e-5
         0.78614,     -7.61215e-5
         0.78714,     -7.63011e-5
         0.78814,     -7.64724e-5
         0.78914,     -7.66452e-5
         0.79014,     -7.68197e-5
         0.79114,      -7.6986e-5
         0.79214,      -7.7144e-5
         0.79314,     -7.73035e-5
         0.79414,     -7.74746e-5
         0.79514,     -7.76472e-5
         0.79614,     -7.78115e-5
         0.79714,     -7.79775e-5
         0.79814,     -7.81548e-5
         0.79914,     -7.83338e-5
         0.80014,     -7.84947e-5
         0.80114,     -7.86474e-5
         0.80214,     -7.88016e-5
         0.80314,     -7.89575e-5
         0.80414,     -7.91149e-5
         0.80514,     -7.92739e-5
         0.80614,     -7.94346e-5
         0.80714,     -7.95968e-5
         0.80814,     -7.97606e-5
         0.80914,     -7.99161e-5
         0.81014,     -8.00635e-5
         0.81114,     -8.02124e-5
         0.81214,     -8.03727e-5
         0.81314,     -8.05248e-5
         0.81414,     -8.06687e-5
         0.81514,     -8.08141e-5
         0.81614,      -8.0971e-5
         0.81714,     -8.11295e-5
         0.81814,     -8.12797e-5
         0.81914,     -8.14315e-5
         0.82014,     -8.15849e-5
         0.82114,       -8.174e-5
         0.82214,     -8.18965e-5
         0.82314,     -8.20449e-5
         0.82414,     -8.21949e-5
         0.82514,     -8.23464e-5
         0.82614,     -8.24995e-5
         0.82714,     -8.26543e-5
